device_name	latitude	longitude	timestamp_from	timestamp_until	bike_count	bike_avg_speed	weather_timestamp	temperature	wind_speed	wind_direction	humidity	barometer	visibility	time_window	Ice fog	Snow flurries	Light fog	Quite cool	Rain	Sleet	Haze	Freezing rain	Cool	Fog	Light rain	Light freezing rain	Cloudy	Light snow	Chilly	Drizzle	Low clouds	Rain showers	Snow	Scattered showers	Snow showers	Hail	Thundershowers	Sprinkles	Thunderstorms	Partly sunny	Scattered clouds	Clear	Sunny	Partly cloudy	Passing clouds	Broken clouds	time_day_of_week_window
CEK049	50.82448	4.393893	1561032900	1561033800	15	23	1561033200	20	11	Wind blowing from 260° West to East	60	1013		14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3
CEK049	50.82448	4.393893	1561033800	1561034700	15	21	1561035000	20	17	Wind blowing from 270° West to East	60	1013		14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3
CEK049	50.82448	4.393893	1561034700	1561035600	22	23	1561035000	20	17	Wind blowing from 270° West to East	60	1013		14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3
CEK049	50.82448	4.393893	1561035600	1561036500	24	22	1561036800	20	17	Wind blowing from 240° West-southwest to East-northeast	60	1013		15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3
CEK049	50.82448	4.393893	1561036500	1561037400	27	22	1561036800	20	17	Wind blowing from 240° West-southwest to East-northeast	60	1013		15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3
CEK049	50.82448	4.393893	1561037400	1561038300	26	22	1561038600	19	19	Wind blowing from 270° West to East	64	1013		15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3
CEK049	50.82448	4.393893	1561038300	1561039200	33	18	1561038600	19	19	Wind blowing from 270° West to East	64	1013		15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3
CEK049	50.82448	4.393893	1561039200	1561040100	28	22	1561040400	19	24	Wind blowing from 290° West-northwest to East-southeast	64	1013		16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3
CEK049	50.82448	4.393893	1561040100	1561041000	28	21	1561040400	19	24	Wind blowing from 290° West-northwest to East-southeast	64	1013		16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3
CEK049	50.82448	4.393893	1561041000	1561041900	39	23	1561042200	19	22	Wind blowing from 300° West-northwest to East-southeast	68	1014		16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3
CEK049	50.82448	4.393893	1561041900	1561042800	30	24	1561042200	19	22	Wind blowing from 300° West-northwest to East-southeast	68	1014		16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3
CEK049	50.82448	4.393893	1561042800	1561043700	27	22	1561044000	19	22	Wind blowing from 300° West-northwest to East-southeast	68	1014		17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3
