device_name	latitude	longitude	timestamp_from	timestamp_until	bike_count	bike_avg_speed
CEK049	50.82448	4.393893	1544796000	1544796900	13	18
CEK049	50.82448	4.393893	1544796900	1544797800	11	20
CEK049	50.82448	4.393893	1544797800	1544798700	22	22
CEK049	50.82448	4.393893	1544798700	1544799600	15	19
CEK049	50.82448	4.393893	1544799600	1544800500	16	20
CEK049	50.82448	4.393893	1544800500	1544801400	17	20
CEK049	50.82448	4.393893	1544801400	1544802300	18	17
CEK049	50.82448	4.393893	1544802300	1544803200	21	16
CEK049	50.82448	4.393893	1544803200	1544804100	19	19
CEK049	50.82448	4.393893	1544804100	1544805000	14	19
CEK049	50.82448	4.393893	1544805000	1544805900	15	20
CEK049	50.82448	4.393893	1544805900	1544806800	14	21
CEK049	50.82448	4.393893	1544806800	1544807700	20	19
CEK049	50.82448	4.393893	1544807700	1544808600	14	22
CEK049	50.82448	4.393893	1544808600	1544809500	10	21
CEK049	50.82448	4.393893	1544809500	1544810400	20	18
CEK049	50.82448	4.393893	1544810400	1544811300	10	22
CEK049	50.82448	4.393893	1544811300	1544812200	8	18
CEK049	50.82448	4.393893	1544812200	1544813100	4	26
CEK049	50.82448	4.393893	1544813100	1544814000	4	17
CEK049	50.82448	4.393893	1544814000	1544814900	7	24
CEK049	50.82448	4.393893	1544814900	1544815800	8	25
CEK049	50.82448	4.393893	1544815800	1544816700	3	21
CEK049	50.82448	4.393893	1544816700	1544817600	3	23
CEK049	50.82448	4.393893	1544821200	1544822100	2	22
CEK049	50.82448	4.393893	1544822100	1544823000	2	11
CEK049	50.82448	4.393893	1544823000	1544823900	2	19
CEK049	50.82448	4.393893	1544823900	1544824800	1	16
CEK049	50.82448	4.393893	1544824800	1544825700	3	18
CEK049	50.82448	4.393893	1544825700	1544826600	3	20
CEK049	50.82448	4.393893	1544826600	1544827500	1	23
CEK049	50.82448	4.393893	1544827500	1544828399	1	19
CEK049	50.82448	4.393893	1544828400	1544829300	4	21
CEK049	50.82448	4.393893	1544830200	1544831100	5	21
CEK049	50.82448	4.393893	1544831100	1544832000	4	20
CEK049	50.82448	4.393893	1544832000	1544832900	2	19
CEK049	50.82448	4.393893	1544834700	1544835600	1	23
CEK049	50.82448	4.393893	1544835600	1544836500	1	19
CEK049	50.82448	4.393893	1544836500	1544837400	2	17
CEK049	50.82448	4.393893	1544838300	1544839200	2	20
CEK049	50.82448	4.393893	1544841000	1544841900	1	17
